RCDTS,County ,Dist # ,District Name/ School Name,City,ELA,Math
530903080160001,Tazewell,3080,Washington Comm High School,Washington,527.8,527.8
530903090160000,Tazewell,3090,East Peoria CHSD 309,East Peoria,478.3,470.4
530903090160001,Tazewell,3090,East Peoria High School,East Peoria,479.4,471.5
530907010260000,Tazewell,7010,Deer Creek-Mackinaw CUSD 701,Mackinaw,534.1,512.8
530907010260001,Tazewell,7010,Dee-Mack High School,Mackinaw,534.1,512.8
530907020260000,Tazewell,7020,Tremont CUSD 702,Tremont,533.8,522.0
530907020260001,Tazewell,7020,Tremont High School,Tremont,533.8,522.0
530907030260000,Tazewell,7030,Delavan CUSD 703,Delavan,495.9,504.3
530907030260001,Tazewell,7030,Delavan High School,Delavan,495.9,504.3
530907090260000,Tazewell,7090,Morton CUSD 709,Morton,562.5,563.1
530907090260006,Tazewell,7090,Morton High School,Morton,562.5,563.1
531020060260000,Woodford,60,Fieldcrest CUSD 6,Minonk,511.3,525.6
531020060260001,Woodford,60,Fieldcrest High School,Minonk,511.3,525.6
531020110260000,Woodford,110,El Paso-Gridley CUSD 11,El Paso,537.4,490.4
531020110260001,Woodford,110,El Paso-Gridley High School,El Paso,537.4,490.4
531020210260000,Woodford,210,Lowpoint-Washburn CUSD 21,Washburn,486.2,454.3
531020210260001,Woodford,210,Lowpoint-Washburn Jr Sr High Sch,Washburn,486.2,454.3
531020600260000,Woodford,600,Roanoke Benson CUSD 60,Roanoke,520.0,527.4
531020600260001,Woodford,600,Roanoke-Benson High School,Roanoke,522.9,529.8
531021220170000,Woodford,1220,County of Woodford School,Metamora,542.7,540.1
531021220170001,Woodford,1220,Metamora High School,Metamora,543.3,541.1
531021400260000,Woodford,1400,Eureka CUD 140,Eureka,560.6,543.0
531021400260001,Woodford,1400,Eureka High School,Eureka,560.6,543.0
540920020260000,Vermilion,20,Westville CUSD 2,Westville,459.9,455.5
540920020260004,Vermilion,20,Westville High School,Westville,459.9,455.5
540920040260000,Vermilion,40,Georgetown-Ridge Farm CUD 4,Georgetown,471.4,453.4
